time,open,high,low,close,volume,ticker
2020-10-16,944.03,946.23,935.98,943.3,395580380,VNINDEX
2020-10-19,945.01,946.29,941.92,943.69,353154450,VNINDEX
2020-10-20,941.0,944.54,937.32,944.42,385709020,VNINDEX
2020-10-21,947.16,948.2,939.0,939.03,372403747,VNINDEX
2020-10-22,938.06,949.9,933.78,949.9,316297780,VNINDEX
2020-10-23,953.45,961.26,953.14,961.26,392835900,VNINDEX
2020-10-26,967.52,970.15,950.8,950.8,404823940,VNINDEX
2020-10-27,950.8,954.72,946.28,946.47,415483910,VNINDEX
2020-10-28,942.82,946.91,921.05,921.05,433987370,VNINDEX
2020-10-29,916.49,925.84,914.33,919.08,356822070,VNINDEX
2020-10-30,925.41,926.32,911.2,925.47,297619160,VNINDEX
2020-11-02,926.09,933.68,924.14,933.68,273129480,VNINDEX
2020-11-03,936.73,937.57,932.18,935.41,303758330,VNINDEX
2020-11-04,935.41,943.56,933.86,939.76,327531490,VNINDEX
2020-11-05,940.32,945.51,937.75,937.75,272242750,VNINDEX
2020-11-06,939.73,941.2,934.63,938.29,249333850,VNINDEX
2020-11-09,942.15,951.99,942.15,951.99,369592050,VNINDEX
2020-11-10,962.68,963.47,951.9,951.9,422141040,VNINDEX
2020-11-11,954.46,956.65,947.61,952.22,353755780,VNINDEX
2020-11-12,953.97,959.28,953.62,959.28,320081130,VNINDEX
2020-11-13,959.56,966.29,959.13,966.29,419678370,VNINDEX
2020-11-16,970.11,972.98,950.5,950.79,485401410,VNINDEX
2020-11-17,955.52,968.9,953.22,968.9,371484161,VNINDEX
2020-11-18,969.48,974.3,966.32,973.53,446206150,VNINDEX
2020-11-19,975.32,983.26,974.33,983.26,473564550,VNINDEX
2020-11-20,984.71,990.0,980.72,990.0,471867270,VNINDEX
2020-11-23,991.87,995.9,985.38,994.19,451210750,VNINDEX
2020-11-24,996.55,997.99,984.92,995.76,511566140,VNINDEX
2020-11-25,1000.39,1002.31,996.8,999.94,445346780,VNINDEX
2020-11-26,999.24,1005.97,994.91,1005.97,411998400,VNINDEX
2020-11-27,1006.68,1010.22,1004.0,1010.22,381723340,VNINDEX
2020-11-30,1011.82,1012.5,1002.61,1003.08,450045450,VNINDEX
2020-12-01,988.71,1008.87,988.71,1008.87,537007360,VNINDEX
2020-12-02,1008.77,1015.86,1007.91,1014.32,484930100,VNINDEX
2020-12-03,1016.73,1020.35,1014.06,1019.8,497108470,VNINDEX
2020-12-04,1020.49,1025.17,1018.67,1021.49,527019060,VNINDEX
2020-12-07,1024.34,1030.41,1022.14,1029.98,473554480,VNINDEX
2020-12-08,1030.88,1032.58,1025.63,1029.26,501250780,VNINDEX
2020-12-09,1031.19,1039.55,1030.24,1039.13,554755640,VNINDEX
2020-12-10,1041.65,1044.1,1030.91,1030.91,566339280,VNINDEX
2020-12-11,1033.19,1045.96,1030.06,1045.96,413852370,VNINDEX
2020-12-14,1048.97,1064.09,1048.97,1064.09,506310660,VNINDEX
2020-12-15,1062.02,1067.45,1052.01,1055.27,621133560,VNINDEX
2020-12-16,1058.34,1066.99,1057.21,1066.99,556546890,VNINDEX
2020-12-17,1065.85,1065.85,1051.42,1051.77,634682600,VNINDEX
2020-12-18,1055.75,1068.56,1055.75,1067.46,560068250,VNINDEX
2020-12-21,1071.62,1081.6,1070.86,1081.08,660479750,VNINDEX
